date,isexit,relay,percentile,advbw
2019-02-05,,,0,0
2019-02-05,,,1,0
2019-02-05,,,10,153526
2019-02-05,,,100,179054864
2019-02-05,,,2,64878
2019-02-05,,,20,464897
2019-02-05,,,25,648857
2019-02-05,,,3,78590
2019-02-05,,,30,1023871
2019-02-05,,,40,1310720
2019-02-05,,,5,102400
2019-02-05,,,50,2379742
2019-02-05,,,60,4395939
2019-02-05,,,70,7201887
2019-02-05,,,75,9213187
2019-02-05,,,80,10983072
2019-02-05,,,9,130729
2019-02-05,,,90,16912626
2019-02-05,,,91,18375697
2019-02-05,,,95,25666782
2019-02-05,,,97,32277808
2019-02-05,,,98,36886435
2019-02-05,,,99,45001227
2019-02-05,,1,,179054864
2019-02-05,,10,,65536000
2019-02-05,,100,,41520128
2019-02-05,,1000,,12885661
2019-02-05,,2,,110347264
2019-02-05,,20,,57733222
2019-02-05,,200,,32434481
2019-02-05,,2000,,7251342
2019-02-05,,3,,82259533
2019-02-05,,30,,54750507
2019-02-05,,300,,27284600
2019-02-05,,3000,,3245484
2019-02-05,,5,,71014108
2019-02-05,,50,,49444719
2019-02-05,,500,,20500809
2019-02-05,,5000,,655360
2019-02-05,t,,0,0
2019-02-05,t,,1,0
2019-02-05,t,,10,376115
2019-02-05,t,,100,179054864
2019-02-05,t,,2,0
2019-02-05,t,,20,1239309
2019-02-05,t,,25,1916315
2019-02-05,t,,3,0
2019-02-05,t,,30,2987166
2019-02-05,t,,40,5242880
2019-02-05,t,,5,80179
2019-02-05,t,,50,7697102
2019-02-05,t,,60,10778545
2019-02-05,t,,70,13305652
2019-02-05,t,,75,16776379
2019-02-05,t,,80,21669982
2019-02-05,t,,9,285900
2019-02-05,t,,90,35108607
2019-02-05,t,,91,36115345
2019-02-05,t,,95,42526934
2019-02-05,t,,97,49726960
2019-02-05,t,,98,57671680
2019-02-05,t,,99,64539513
2019-02-05,t,1,,179054864
2019-02-05,t,10,,64290392
2019-02-05,t,100,,33157120
2019-02-05,t,2,,110347264
2019-02-05,t,20,,53397340
2019-02-05,t,200,,19431876
2019-02-05,t,3,,82259533
2019-02-05,t,30,,48599676
2019-02-05,t,300,,12551839
2019-02-05,t,5,,71014108
2019-02-05,t,50,,41798648
2019-02-05,t,500,,6090341
2019-02-06,,,0,0
2019-02-06,,,1,28372
2019-02-06,,,10,175055
2019-02-06,,,100,179054864
2019-02-06,,,2,75720
2019-02-06,,,20,511097
2019-02-06,,,25,672092
2019-02-06,,,3,81920
2019-02-06,,,30,1024000
2019-02-06,,,40,1413229
2019-02-06,,,5,102400
2019-02-06,,,50,2518424
2019-02-06,,,60,4611701
2019-02-06,,,70,7349667
2019-02-06,,,75,9443573
2019-02-06,,,80,11144962
2019-02-06,,,9,132106
2019-02-06,,,90,17177202
2019-02-06,,,91,18596110
2019-02-06,,,95,25890096
2019-02-06,,,97,32391013
2019-02-06,,,98,36952750
2019-02-06,,,99,46244013
2019-02-06,,1,,179054864
2019-02-06,,10,,66070899
2019-02-06,,100,,41520128
2019-02-06,,1000,,12913282
2019-02-06,,2,,82258944
2019-02-06,,20,,58260012
2019-02-06,,200,,32380263
2019-02-06,,2000,,7310469
2019-02-06,,3,,76934763
2019-02-06,,30,,54750507
2019-02-06,,300,,27377059
2019-02-06,,3000,,3248662
2019-02-06,,5,,71014108
2019-02-06,,50,,49845062
2019-02-06,,500,,20570112
2019-02-06,,5000,,643687
2019-02-06,t,,0,0
2019-02-06,t,,1,8185
2019-02-06,t,,10,536921
2019-02-06,t,,100,179054864
2019-02-06,t,,2,80322
2019-02-06,t,,20,1480766
2019-02-06,t,,25,2096583
2019-02-06,t,,3,102313
2019-02-06,t,,30,2979275
2019-02-06,t,,40,5242880
2019-02-06,t,,5,193920
2019-02-06,t,,50,7784719
2019-02-06,t,,60,10880040
2019-02-06,t,,70,13455869
2019-02-06,t,,75,16570383
2019-02-06,t,,80,21835866
2019-02-06,t,,9,512000
2019-02-06,t,,90,35156368
2019-02-06,t,,91,36414052
2019-02-06,t,,95,43627729
2019-02-06,t,,97,50335797
2019-02-06,t,,98,57671680
2019-02-06,t,,99,65839337
2019-02-06,t,1,,179054864
2019-02-06,t,10,,65536000
2019-02-06,t,100,,33266279
2019-02-06,t,2,,82258944
2019-02-06,t,20,,53397340
2019-02-06,t,200,,18903676
2019-02-06,t,3,,76934763
2019-02-06,t,30,,49845062
2019-02-06,t,300,,12520769
2019-02-06,t,5,,71014108
2019-02-06,t,50,,42222887
2019-02-06,t,500,,5987619
