date,distributor,transport,requests
2020-01-01,email,fte,25
2020-01-01,email,obfs2,5
2020-01-01,email,obfs3,40
2020-01-01,email,obfs4,70
2020-01-01,email,scramblesuit,25
2020-01-01,email,vanilla,250
2020-01-01,https,fte,50
2020-01-01,https,obfs3,100
2020-01-01,https,obfs4,1025
2020-01-01,https,scramblesuit,85
2020-01-01,https,vanilla,1815
2020-01-01,moat,obfs4,5950
2020-01-02,email,fte,25
2020-01-02,email,obfs2,5
2020-01-02,email,obfs3,30
2020-01-02,email,obfs4,80
2020-01-02,email,scramblesuit,25
2020-01-02,email,vanilla,250
2020-01-02,https,fte,45
2020-01-02,https,obfs3,65
2020-01-02,https,obfs4,1055
2020-01-02,https,scramblesuit,85
2020-01-02,https,vanilla,1865
2020-01-02,moat,obfs4,6665
2020-01-03,email,fte,25
2020-01-03,email,obfs2,5
2020-01-03,email,obfs3,30
2020-01-03,email,obfs4,95
2020-01-03,email,scramblesuit,40
2020-01-03,email,vanilla,295
2020-01-03,https,fte,55
2020-01-03,https,obfs2,5
2020-01-03,https,obfs3,115
2020-01-03,https,obfs4,1210
2020-01-03,https,scramblesuit,65
2020-01-03,https,vanilla,2050
2020-01-03,moat,obfs4,6710
2020-01-04,email,fte,25
2020-01-04,email,obfs2,10
2020-01-04,email,obfs3,40
2020-01-04,email,obfs4,80
2020-01-04,email,scramblesuit,30
2020-01-04,email,vanilla,250
2020-01-04,https,fte,595
2020-01-04,https,obfs2,5
2020-01-04,https,obfs3,620
2020-01-04,https,obfs4,1000
2020-01-04,https,scramblesuit,95
2020-01-04,https,vanilla,2485
2020-01-04,moat,obfs4,6855
2020-01-05,email,fte,25
2020-01-05,email,obfs2,5
2020-01-05,email,obfs3,30
2020-01-05,email,obfs4,110
2020-01-05,email,scramblesuit,30
2020-01-05,email,vanilla,295
2020-01-05,https,fte,80
2020-01-05,https,obfs2,10
2020-01-05,https,obfs3,100
2020-01-05,https,obfs4,1205
2020-01-05,https,scramblesuit,85
2020-01-05,https,vanilla,2015
2020-01-05,moat,obfs4,6960
2020-01-06,email,fte,30
2020-01-06,email,obfs2,5
2020-01-06,email,obfs3,40
2020-01-06,email,obfs4,225
2020-01-06,email,scramblesuit,40
2020-01-06,email,vanilla,320
2020-01-06,https,fte,70
2020-01-06,https,obfs2,5
2020-01-06,https,obfs3,130
2020-01-06,https,obfs4,1480
2020-01-06,https,scramblesuit,95
2020-01-06,https,vanilla,2055
2020-01-06,moat,obfs4,12025
2020-01-07,email,fte,25
2020-01-07,email,obfs2,10
2020-01-07,email,obfs3,30
2020-01-07,email,obfs4,95
2020-01-07,email,scramblesuit,25
2020-01-07,email,vanilla,220
2020-01-07,https,fte,40
2020-01-07,https,obfs3,75
2020-01-07,https,obfs4,1165
2020-01-07,https,scramblesuit,110
2020-01-07,https,vanilla,1765
2020-01-07,moat,obfs4,7060
2020-01-08,email,fte,25
2020-01-08,email,obfs2,5
2020-01-08,email,obfs3,40
2020-01-08,email,obfs4,95
2020-01-08,email,scramblesuit,25
2020-01-08,email,vanilla,260
2020-01-08,https,fte,70
2020-01-08,https,obfs2,10
2020-01-08,https,obfs3,90
2020-01-08,https,obfs4,1060
2020-01-08,https,scramblesuit,90
2020-01-08,https,vanilla,1925
2020-01-08,moat,obfs4,7345
2020-01-09,email,fte,25
2020-01-09,email,obfs2,5
2020-01-09,email,obfs3,40
2020-01-09,email,obfs4,95
2020-01-09,email,scramblesuit,25
2020-01-09,email,vanilla,295
2020-01-09,https,fte,65
2020-01-09,https,obfs3,90
2020-01-09,https,obfs4,1020
2020-01-09,https,scramblesuit,40
2020-01-09,https,vanilla,1660
2020-01-09,moat,obfs4,7595
2020-01-10,email,fte,30
2020-01-10,email,obfs2,5
2020-01-10,email,obfs3,30
2020-01-10,email,obfs4,105
2020-01-10,email,scramblesuit,35
2020-01-10,email,vanilla,265
2020-01-10,https,fte,35
2020-01-10,https,obfs2,15
2020-01-10,https,obfs3,120
2020-01-10,https,obfs4,1115
2020-01-10,https,scramblesuit,85
2020-01-10,https,vanilla,1700
2020-01-10,moat,obfs4,6815
2020-01-11,email,fte,25
2020-01-11,email,obfs2,5
2020-01-11,email,obfs3,40
2020-01-11,email,obfs4,85
2020-01-11,email,scramblesuit,30
2020-01-11,email,vanilla,240
2020-01-11,https,fte,40
2020-01-11,https,obfs3,115
2020-01-11,https,obfs4,935
2020-01-11,https,scramblesuit,85
2020-01-11,https,vanilla,1785
2020-01-11,moat,obfs4,6460
2020-01-12,email,fte,25
2020-01-12,email,obfs2,5
2020-01-12,email,obfs3,40
2020-01-12,email,obfs4,95
2020-01-12,email,scramblesuit,25
2020-01-12,email,vanilla,280
2020-01-12,https,fte,40
2020-01-12,https,obfs3,75
2020-01-12,https,obfs4,1000
2020-01-12,https,scramblesuit,80
2020-01-12,https,vanilla,1680
2020-01-12,moat,obfs4,6700
