valid_after_date,server,guard_relay,exit_relay,announced_ipv6,exiting_ipv6_relay,reachable_ipv6_relay,server_count_sum_avg,advertised_bandwidth_bytes_sum_avg
2019-02-05,relay,f,f,f,f,f,3250,5418018691
2019-02-05,relay,f,f,f,t,f,1,1048576
2019-02-05,relay,f,f,t,f,t,305,1349473794
2019-02-05,relay,f,f,t,t,t,7,33401771
2019-02-05,relay,f,t,f,f,f,294,1347473457
2019-02-05,relay,f,t,f,t,f,11,54526654
2019-02-05,relay,f,t,t,f,t,2,11802872
2019-02-05,relay,f,t,t,t,t,61,292290189
2019-02-05,relay,t,f,f,f,f,1751,18985150911
2019-02-05,relay,t,f,f,t,f,1,7247406
2019-02-05,relay,t,f,t,f,t,474,6028592385
2019-02-05,relay,t,f,t,t,t,13,201761930
2019-02-05,relay,t,t,f,f,f,345,5992756111
2019-02-05,relay,t,t,f,t,f,9,300696589
2019-02-05,relay,t,t,t,f,t,1,17530301
2019-02-05,relay,t,t,t,t,t,154,3336723779
2019-02-05,bridge,,,f,,,761,
2019-02-05,bridge,,,t,,,196,
